iter	Logloss
0	0.6843283495
1	0.6700678006
2	0.655060685
3	0.6455720147
4	0.6352991604
5	0.6250692668
6	0.6166235091
7	0.6070005828
8	0.5988824477
9	0.5885840033
10	0.5803232861
11	0.5720455849
12	0.5662944849
13	0.5584276369
14	0.5526628118
15	0.5478321003
16	0.5425023079
17	0.5375306301
18	0.5319594645
19	0.5284254359
20	0.5229956348
21	0.5182743687
22	0.5140590131
23	0.5106250047
24	0.5062444274
25	0.5034951032
26	0.5008428151
27	0.4970550281
28	0.4942159912
29	0.491652094
30	0.4895445341
31	0.4861843294
32	0.484093955
33	0.4820551573
34	0.4805349342
35	0.4781772079
36	0.4755989988
37	0.4743676997
38	0.4729201064
39	0.4709929767
40	0.4697881422
41	0.4668331241
42	0.4643350567
43	0.4625160985
44	0.4599380988
45	0.4580918213
46	0.456322688
47	0.4551895453
48	0.4533784247
49	0.4512819651
50	0.4501735232
51	0.4488879429
52	0.4471862519
53	0.4460076192
54	0.4447034939
55	0.4431001436
56	0.4421573446
57	0.4411809458
58	0.4403426378
59	0.4390037998
60	0.437530671
61	0.4362986624
62	0.4350840744
63	0.4340165485
64	0.4329438331
65	0.4318642568
66	0.4307564169
67	0.4298395258
68	0.4291661197
69	0.4285899815
70	0.4272632753
71	0.4266483971
72	0.4259151654
73	0.4249600798
74	0.4242550682
75	0.4237019179
76	0.4233212583
77	0.4222545574
78	0.4212292023
79	0.4201732769
80	0.4191159774
81	0.4181210597
82	0.4171759152
83	0.4161557053
84	0.4153458902
85	0.414665304
86	0.4134783464
87	0.4126571675
88	0.4117470096
89	0.4111854991
90	0.4101662804
91	0.40956703
92	0.4093599498
93	0.4086631093
94	0.4080832735
95	0.4075024391
96	0.4064411046
97	0.4055503754
98	0.4049932977
99	0.404282368
100	0.4035728612
101	0.4028145728
102	0.4019341581
103	0.4013479976
104	0.4006382716
105	0.3997995784
106	0.3993109256
107	0.3986361055
108	0.3980389539
109	0.3970640483
110	0.3964905142
111	0.396103239
112	0.3954463405
113	0.3945932399
114	0.3938730729
115	0.3935751954
116	0.392856406
117	0.3919865301
118	0.3913612971
119	0.3908446487
120	0.3902372922
121	0.3896525415
122	0.3893852847
123	0.3888773559
124	0.3882800357
125	0.3876257052
126	0.387360678
127	0.3869172373
128	0.3863049176
129	0.3859788226
130	0.3856632574
131	0.3849012532
132	0.3843528721
133	0.3839494503
134	0.3830533129
135	0.3827587685
136	0.3824140674
137	0.3817144283
138	0.381237079
139	0.3808366384
140	0.3799744876
141	0.3796305862
142	0.3790326246
143	0.3785630692
144	0.3783516368
145	0.3780076008
146	0.3774419695
147	0.3769806291
148	0.3764681911
149	0.3759342452
150	0.3755745251
151	0.3752495276
152	0.3747262092
153	0.374391619
154	0.374011326
155	0.3735531099
156	0.3729912105
157	0.3724048702
158	0.3717943239
159	0.3712373109
160	0.3708679659
161	0.3704345311
162	0.3699856009
163	0.3696928666
164	0.369002336
165	0.3683900632
166	0.368044251
167	0.367462988
168	0.3666975959
169	0.3657122643
170	0.3650792922
171	0.3642527957
172	0.3639380596
173	0.3635317125
174	0.3631959812
175	0.3628698762
176	0.362436547
177	0.3620844974
178	0.3617496459
179	0.3614076847
180	0.3611373582
181	0.3606951304
182	0.3605238954
183	0.360359584
184	0.3599375335
185	0.359493228
186	0.359181008
187	0.3587560098
188	0.3580316265
189	0.3577877107
190	0.3575761634
191	0.3572144173
192	0.3568681925
193	0.3564629166
194	0.3554644753
195	0.3550226468
196	0.3545819002
197	0.3541708727
198	0.353843382
199	0.3537036233
